idurl,url,md_file_name,title,Summary
1,https://www.hydroshare.org/resource/ec43b15ed20744f39bc757f7b2e4d51e/,hydroshare-accessing-aorc-and-hydrofabric-on-ciroh-jupyterhub-metadata,hydroshare_accessing_aorc_and_hydrofabric_on_ciroh_jupyterhub,"Title: Accessing AORC and Hydrofabric on CIROH JupyterHub
Abstract summary: This resource provides data and code to facilitate access and analysis of high-value community datasets: the Analysis of Record for Calibration (AORC) and the Next Generation Water Resources Modeling Framework (NextGen) Hydrofabric. Leveraging the CIROH JupyterHub cloud computing platform, the resource offers a suite of Jupyter notebooks and Python scripts. These tools demonstrate key workflows for subsetting the hydrofabric for a watershed of interest (Big Cottonwood Creek), collecting and processing AORC meteorological data, retrieving SNOTEL data, and conducting analyses like flood inundation mapping. The primary significance is enabling reproducible, scalable hydrologic analysis on key national datasets without requiring extensive local computational resources, thereby broadening research accessibility.
Primary Purpose: The primary goal of this resource is to provide a practical toolkit of code and workflows for accessing and processing foundational hydrologic datasets, specifically AORC and the NGen Hydrofabric. It was created to demonstrate how to leverage the CIROH JupyterHub cloud computing platform for these tasks. Its intended application is to enable researchers to perform scalable and reproducible hydrologic analyses without needing significant local computational infrastructure."
2,https://www.hydroshare.org/resource/56e0ac25249d4451845a843eb3154954/,hydroshare-alluvial-river-width-variability-metadata,hydroshare_alluvial_river_width_variability,"Title: Alluvial River Width Variability
Abstract summary: This dataset provides a comprehensive compilation of data focused on bankfull hydraulic geometry in alluvial rivers. It integrates three primary components: a broad compilation of hydraulic attributes, high-resolution spatial series of bankfull width for 67 sites derived from lidar topography, and hydrograph metrics for sites with USGS gauge data. The high-resolution data includes detailed x, y, z coordinates of channel bank lines and both raw and quality-filtered spatial series of width. By combining traditional hydraulic geometry with high-resolution topographic measurements, this resource enables detailed investigations into the controls on river channel morphology, width variability, and its relationship with river discharge.
Primary Purpose: The primary purpose of this dataset is to provide a robust, multi-source compilation for studying alluvial river width variability and hydraulic geometry. It is designed to support geomorphological research, the validation of hydraulic models, and investigations into how river channels respond to environmental drivers like climate and discharge."
3,https://www.hydroshare.org/resource/b1379f00121e456f958f9e22e913aa8a/,hydroshare-analysis-of-precipitation-data-across-the-logan-river-watershed-for-the-year-201-metadata,hydroshare_analysis_of_precipitation_data_across_the_logan_river_watershed_for_the_year_201,"Title: Analysis of precipitation data across the Logan River Watershed for the Year 2010
Abstract summary: This resource provides the computational framework and data for a comparative precipitation analysis within Utah's Logan River Watershed for the year 2010. Using Jupyter Notebooks, the study acquires and processes modeled precipitation data from two distinct products: the Analysis of Record for Calibration (AORC) and the Parameter-elevation Regressions on Independent Slopes Model (PRISM). The core objective is to calculate and compare the basin's average daily precipitation as estimated by each product. The dataset, which includes all necessary code, input files, and results, serves as a practical demonstration and educational tool for hydrologic data integration and analysis workflows, particularly in snowmelt-dominated systems.
Primary Purpose: The main goal is to provide a reproducible workflow for comparing AORC and PRISM gridded precipitation data over a specific catchment. This dataset was created as an educational resource to demonstrate methods for acquiring, processing, and contrasting different hydrologic data products. Its primary application is for training and illustrating data analysis techniques in hydrology."
4,https://www.hydroshare.org/resource/c738c05278a34bc9848dd14d61cffab9/,hydroshare-aorc-atmospheric-forcing-data-across-camels-us-basins-1980-2024-metadata,hydroshare_aorc_atmospheric_forcing_data_across_camels_us_basins_1980_2024,"**Title:** AORC atmospheric forcing data across CAMELS US basins, 1980 - 2024

**Abstract summary:** This dataset provides atmospheric forcing data from NOAA's Analysis of Record for Calibration (AORC), summarized over the CAMELS US catchments for the period 1980-2024. A key methodological update is the use of revised basin delineations based on the USGS GagesII boundaries. The dataset provides eight essential hourly meteorological variables, including precipitation, temperature, humidity, radiation fluxes, pressure, and wind components. The long-term, comprehensive nature of these data makes them a valuable resource for driving, calibrating, and validating hydrologic models, as well as for conducting large-sample climate impact studies across diverse watersheds in the continental United States.

**Primary Purpose:** The primary purpose of this dataset is to provide a consistent, high-quality, and long-term set of atmospheric forcing variables for hydrologic research across the continental United States. It is specifically designed to support large-sample hydrology studies, drive and validate hydrologic models (e.g., NextGen), and facilitate climate impact assessments within the widely used CAMELS basin framework."
5,https://www.hydroshare.org/resource/807458c515eb400dadb9dce5db30399c/,hydroshare-basin-characteristics-and-streambow-statistics-for-the-usgs-stream-gage-chester--metadata,hydroshare_basin_characteristics_and_streambow_statistics_for_the_usgs_stream_gage_chester_,"Title: Basin Characteristics and Streamflow Statistics for the USGS Stream Gage Chester C at Arctic Boulevard at Anchorage AK – 15275100 Watershed
Abstract summary: This resource provides detailed basin characteristics and streamflow statistics for the USGS stream gage 15275100 on Chester Creek in Anchorage, Alaska. The data were compiled using the USGS StreamStats web application. The dataset was created as a demonstration project during the National Water Center Summer Institute Program to illustrate a complete workflow for accessing, sharing, and describing hydrological data within the HydroShare platform. It serves as a practical example of data management and dissemination for educational and research purposes.
Primary Purpose: The main goal of this dataset is to provide a comprehensive collection of hydrologic data, including a delineated watershed, for the Chester Creek gaging station. It was created as an educational resource to demonstrate data management best practices. The compiled information is intended for applications in urban hydrology studies, peak flow analysis, and as a teaching tool for data access workflows."
6,https://www.hydroshare.org/resource/2956a66c9e46466490f8857cecbaaa82/,hydroshare-basin-characteristics-at-shawnee-ks-metadata,hydroshare_basin_characteristics_at_shawnee_ks,"Title: Basin Characteristics at Shawnee, KS
Abstract summary: This resource provides basin characteristics data for a watershed in Shawnee, Kansas, sourced from the U.S. Geological Survey (USGS) StreamStats web application on June 19, 2024. The dataset was created during a demonstration for the National Water Center Summer Institute Program. Its primary significance is educational, illustrating a complete workflow for accessing external hydrologic data, publishing it on the HydroShare platform, and documenting it with comprehensive metadata. It exemplifies best practices for data sharing and accessibility within the hydrologic sciences community.
Primary Purpose: The main goal of this dataset is to serve as an educational and demonstrative resource. It was created to illustrate the process of retrieving basin characteristics from the USGS StreamStats service and subsequently sharing and documenting them on HydroShare. Its intended application is as a practical example for researchers and students learning best practices for hydrologic data management."
7,https://www.hydroshare.org/resource/2dd1ac86e8854d4fb9fe5fbafaec2b98/,hydroshare-ciroh-2i2c-jupyterhub-metadata,hydroshare_ciroh_2i2c_jupyterhub,"Title: CIROH 2i2c JupyterHub
Abstract summary: This HydroShare resource is an App Connector that links the data repository to the CIROH 2i2c JupyterHub, a production-level, cloud-based computational platform. Developed for the Cooperative Institute for Research to Operations in Hydrology (CIROH) community, this tool enables a seamless integration for advanced hydrologic analysis. Researchers can launch computational notebooks directly from HydroShare resources or specific files, facilitating streamlined access to data and collaborative research. The platform provides a robust, production-ready infrastructure for hydrologic research and education, with access managed via administrative request.
Primary Purpose: The main goal of this App Connector is to provide a direct bridge between HydroShare data resources and the powerful 2i2c JupyterHub computational environment. It is designed to streamline research workflows by allowing users to launch and execute cloud-based analyses directly on HydroShare datasets, enhancing collaboration and eliminating the need for local data management."
8,https://www.hydroshare.org/community/4/,hydroshare-ciroh-community-page-metadata,hydroshare_ciroh_community_page,"Title: Cooperative Institute for Research to Operations in Hydrology (CIROH)
Abstract summary: The Cooperative Institute for Research to Operations in Hydrology (CIROH), a partnership between NOAA and The University of Alabama, is a national consortium dedicated to advancing water prediction. It focuses on forecasting streamflow, extreme events like floods and droughts, and water quality to enhance community resilience. Comprising scientists from 28 diverse institutions, CIROH works to improve the understanding of hydrologic processes and operational forecasting techniques. The consortium develops community water models and translates complex forecasts into actionable products, bridging the gap between research and operational decision-making for national water challenges.
Primary Purpose: The primary goal of this HydroShare community is to unite CIROH's various working groups for streamlined data access and sharing. It serves as a central hub to support collaborative research in water prediction, the development of the NextGen hydrologic modeling framework, and community-driven water modeling initiatives."
9,https://www.hydroshare.org/resource/23b51cb99b5445a1af740a21c5acaecb/,hydroshare-ciroh-enabling-collaboration-through-data-and-model-sharing-with-cuahsi-hydrosha-metadata,hydroshare_ciroh_enabling_collaboration_through_data_and_model_sharing_with_cuahsi_hydrosha,"Title: CIROH: Enabling collaboration through data and model sharing with CUAHSI HydroShare
Abstract summary: The Cooperative Institute for Research to Operations in Hydrology (CIROH) requires robust collaboration to advance operational hydrology. This project addresses this need by enhancing the CUAHSI HydroShare platform to support CIROH’s research community. Key objectives involve improving access to high-value datasets, integrating with high-performance and cloud computing systems, and establishing best practices for computational reproducibility. The project will create a dedicated CIROH community on HydroShare, fostering the sharing of data, models, and workflows consistent with FAIR principles. Ultimately, this infrastructure aims to make research products transparent and reproducible, facilitating their evaluation and transition into operational forecasting systems at the National Water Center.
Primary Purpose: This HydroShare resource documents a project designed to enhance the HydroShare platform for the Cooperative Institute for Research to Operations in Hydrology (CIROH). Its primary purpose is to describe the project's goals and methods for enabling collaborative and reproducible hydrologic research. The contents, including a project description and presentation slides, serve as an overview for the CIROH community and stakeholders."
10,https://www.hydroshare.org/resource/16f2de7e9de94148b868e9be795956bb/,hydroshare-clear-creek-at-golden-colorado-usgs-06719505-nextgen-v22-hydrofabric-and-aorc-fo-metadata,hydroshare_clear_creek_at_golden_colorado_usgs_06719505_nextgen_v22_hydrofabric_and_aorc_fo,"Title: Clear Creek at Golden, Colorado (USGS 06719505): Nextgen v2.2 hydrofabric and AORC forcings
Abstract summary: This dataset provides essential model inputs for the Clear Creek watershed at Golden, CO (USGS 06719505), a high-elevation, snow-dominated headwater basin serving as a pilot site for hydrologic studies. The resource contains key data to run NOAA's Next Generation Water Resources Modeling Framework (Nextgen) in this watershed. It includes two primary components: a geopackage defining the Nextgen v2.2 hydrofabric (catchments, flowpaths) and the complete 1979-2024 retrospective AORC v1.1 meteorological forcings. These forcings are pre-processed and mapped to the hydrofabric in a Nextgen-compliant netCDF format. The data is significant for supporting research at the Colorado School of Mines and for its role in NOAA's Hydrologic Ensemble Forecast System (HEFS) testbed.
Primary Purpose: The main goal of this resource is to provide a comprehensive, ready-to-use set of inputs for hydrologic modeling of the Clear Creek watershed using NOAA's Nextgen framework. It is intended to support and streamline modeling studies, particularly those at the Colorado School of Mines and within NOAA's hydrologic prediction testbeds."
