idurl,url,md_file_name,title,Summary
1,https://www.hydroshare.org/resource/ec43b15ed20744f39bc757f7b2e4d51e/,hydroshare-accessing-aorc-and-hydrofabric-on-ciroh-jupyterhub-metadata,hydroshare_accessing_aorc_and_hydrofabric_on_ciroh_jupyterhub,AORC and Hydrofabric datasets are accessed and analyzed via JupyterHub linked to HydroShare. The CIROH Jupyterhub environment enables users to work with these high-value community datasets for hydrological modeling.
2,https://www.hydroshare.org/resource/56e0ac25249d4451845a843eb3154954/,hydroshare-alluvial-river-width-variability-metadata,hydroshare_alluvial_river_width_variability,"Alluvial River Width Variability compiles bankfull geometry data, lidar-derived river widths for 67 sites, and hydrograph metrics. The resource offers bank line coordinates and filtered width data, enabling analysis of downstream hydraulic geometry."
3,https://www.hydroshare.org/resource/b1379f00121e456f958f9e22e913aa8a/,hydroshare-analysis-of-precipitation-data-across-the-logan-river-watershed-for-the-year-201-metadata,hydroshare_analysis_of_precipitation_data_across_the_logan_river_watershed_for_the_year_201,"Analyzes precipitation data (AORC & PRISM) across the Logan River Watershed. It compares the basin's average daily precipitation and saves results back to HydroShare, using provided code and input files."
4,https://www.hydroshare.org/resource/c738c05278a34bc9848dd14d61cffab9/,hydroshare-aorc-atmospheric-forcing-data-across-camels-us-basins-1980-2024-metadata,hydroshare_aorc_atmospheric_forcing_data_across_camels_us_basins_1980_2024,"AORC atmospheric forcings (1980-2024) are summarized over CAMELS US basins, utilizing updated basin delineations from Andy Wood based on USGS GagesII. The data preparation code is derived from a GitHub repository focused on forcing preparation."
5,https://www.hydroshare.org/resource/807458c515eb400dadb9dce5db30399c/,hydroshare-basin-characteristics-and-streambow-statistics-for-the-usgs-stream-gage-chester--metadata,hydroshare_basin_characteristics_and_streambow_statistics_for_the_usgs_stream_gage_chester_,USGS stream gage Chester's basin characteristics and streamflow statistics are presented.
6,https://www.hydroshare.org/resource/2956a66c9e46466490f8857cecbaaa82/,hydroshare-basin-characteristics-at-shawnee-ks-metadata,hydroshare_basin_characteristics_at_shawnee_ks,"Basin characteristics for Shawnee, KS, obtained from the USGS StreamStats on June 19, 2024, are provided. Data was accessed and shared on HydroShare as part of the NWC Summer Institute demo."
7,https://www.hydroshare.org/resource/2dd1ac86e8854d4fb9fe5fbafaec2b98/,hydroshare-ciroh-2i2c-jupyterhub-metadata,hydroshare_ciroh_2i2c_jupyterhub,"CIROH 2I2C JupyterHub provides a production environment for CIROH users, accessible via a web interface. It offers a platform for data analysis and computational tasks, requiring users to request access through ciroh-it-admin@ua.edu."
8,https://www.hydroshare.org/community/4/,hydroshare-ciroh-community-page-metadata,hydroshare_ciroh_community_page,CIROH community page for sharing hydrologic research resources and collaboration.
9,https://www.hydroshare.org/resource/23b51cb99b5445a1af740a21c5acaecb/,hydroshare-ciroh-enabling-collaboration-through-data-and-model-sharing-with-cuahsi-hydrosha-metadata,hydroshare_ciroh_enabling_collaboration_through_data_and_model_sharing_with_cuahsi_hydrosha,This HydroShare resource supports CIROH's collaborative hydrology research by enhancing HydroShare's data and model sharing capabilities.
10,https://www.hydroshare.org/resource/16f2de7e9de94148b868e9be795956bb/,hydroshare-clear-creek-at-golden-colorado-usgs-06719505-nextgen-v22-hydrofabric-and-aorc-fo-metadata,hydroshare_clear_creek_at_golden_colorado_usgs_06719505_nextgen_v22_hydrofabric_and_aorc_fo,"This resource provides Nextgen model inputs for Clear Creek, CO. It contains a v2.2 hydrofabric geopackage and 1979-2024 AORC v1.1 forcings in Nextgen-compliant netCDF format."
